t,X,Y,Z
1.070000000000000062e+00,-9.126870413353294964e+00,-8.338008650511781639e+00,2.878840459971751997e+01
1.080000000000000071e+00,-9.044339071075146563e+00,-8.184376685256612660e+00,2.877150465024683257e+01
1.090000000000000080e+00,-8.955250662453648758e+00,-8.035355908455326102e+00,2.873459476178448213e+01
1.100000000000000089e+00,-8.860751041469143274e+00,-7.892637723998991994e+00,2.867846908907467807e+01
1.110000000000000098e+00,-8.762030102841672274e+00,-7.757747601327977804e+00,2.860414212540857193e+01
1.120000000000000107e+00,-8.660300989308048258e+00,-7.632029452228692001e+00,2.851281592836795298e+01
1.130000000000000115e+00,-8.556780123271588323e+00,-7.516636821636296872e+00,2.840584656830135657e+01
1.140000000000000124e+00,-8.452668610651024039e+00,-7.412530387493200479e+00,2.828471112048894298e+01
1.150000000000000133e+00,-8.349135451984182055e+00,-7.320481017127481671e+00,2.815097630611679591e+01
1.159999999999999920e+00,-8.247302874043610288e+00,-7.241077459068266720e+00,2.800626963914614009e+01
1.169999999999999929e+00,-8.148233972782795931e+00,-7.174737658682368568e+00,2.785225367892996218e+01
1.179999999999999938e+00,-8.052922742528263456e+00,-7.121722666222077613e+00,2.769060374138523173e+01
1.189999999999999947e+00,-7.962286462540670406e+00,-7.082152145252567976e+00,2.752298919928445287e+01
1.199999999999999956e+00,-7.877160324206559316e+00,-7.056020574129493461e+00,2.735105831425302370e+01
1.209999999999999964e+00,-7.798294112292556868e+00,-7.043213348879267421e+00,2.717642639395433335e+01
1.219999999999999973e+00,-7.726350702466847409e+00,-7.043522129070366233e+00,2.700066695819199225e+01
1.229999999999999982e+00,-7.661906103992969008e+00,-7.056658907513032375e+00,2.682530552459313355e+01
1.239999999999999991e+00,-7.605450759533157523e+00,-7.082268420763856653e+00,2.665181558339870804e+01
1.250000000000000000e+00,-7.557391811175629748e+00,-7.119938643894991870e+00,2.648161631579917952e+01
1.260000000000000009e+00,-7.518056050641003907e+00,-7.169209225723791157e+00,2.631607161504359738e+01
1.270000000000000018e+00,-7.487693289599770097e+00,-7.229577817740614698e+00,2.615648998836879002e+01
1.280000000000000027e+00,-7.466479910760104310e+00,-7.300504331107847023e+00,2.600412494554319665e+01
1.290000000000000036e+00,-7.454522389750997569e+00,-7.381413222412206210e+00,2.586017551238476386e+01
1.300000000000000044e+00,-7.451860610066238344e+00,-7.471693962284211565e+00,2.572578654196846060e+01
1.310000000000000053e+00,-7.458470827066726372e+00,-7.570699883993162516e+00,2.560204853043688189e+01
1.320000000000000062e+00,-7.474268171252802517e+00,-7.677745644294799554e+00,2.548999667741573205e+01
1.330000000000000071e+00,-7.499108615047756388e+00,-7.792103558675893993e+00,2.539060896294232350e+01
1.340000000000000080e+00,-7.532790360802425589e+00,-7.912999099934952874e+00,2.530480304420946780e+01
1.350000000000000089e+00,-7.575054640489595315e+00,-8.039605874531263296e+00,2.523343180757636617e+01
1.360000000000000098e+00,-7.625585949611589420e+00,-8.171040416503290160e+00,2.517727744592080086e+01
1.370000000000000107e+00,-7.684011769279056381e+00,-8.306357164475125288e+00,2.513704397052192263e+01
1.380000000000000115e+00,-7.749901861316576657e+00,-8.444544013010432337e+00,2.511334811242722154e+01
1.390000000000000124e+00,-7.822767251613757189e+00,-8.584518854135044563e+00,2.510670862278357163e+01
1.400000000000000133e+00,-7.902059046611902282e+00,-8.725127546100551967e+00,2.511753404675491907e+01
1.409999999999999920e+00,-7.987167256405595772e+00,-8.865143761325107619e+00,2.514610912275356824e+01
1.419999999999999929e+00,-8.077419824754949573e+00,-9.003271169944561336e+00,2.519258004832133224e+01
1.429999999999999938e+00,-8.172082090305316626e+00,-9.138148404779665057e+00,2.525693895552654666e+01
1.439999999999999947e+00,-8.270356923072236910e+00,-9.268357222475408719e+00,2.533900805013774615e+01
1.449999999999999956e+00,-8.371385793965547606e+00,-9.392434218634356569e+00,2.543842398624236267e+01
1.459999999999999964e+00,-8.474251040657987843e+00,-9.508886366853651850e+00,2.555462316548987900e+01
1.469999999999999973e+00,-8.577979588074782669e+00,-9.616210528656525369e+00,2.568682875965949819e+01
1.479999999999999982e+00,-8.681548363743482710e+00,-9.712916921253084368e+00,2.583404034658427406e+01
1.489999999999999991e+00,-8.783891614908748480e+00,-9.797556333556466157e+00,2.599502711067630401e+01
1.500000000000000000e+00,-8.883910283851774281e+00,-9.868750652319208783e+00,2.616832557745919274e+01
1.510000000000000009e+00,-8.980483529229724482e+00,-9.925226008500418473e+00,2.635224281381994871e+01
1.520000000000000018e+00,-9.072482394613215817e+00,-9.965847592759455864e+00,2.654486592097872943e+01
1.530000000000000027e+00,-9.158785522422661529e+00,-9.989654936793305851e+00,2.674407846772252384e+01
1.540000000000000036e+00,-9.238296695622693733e+00,-9.995896236555884329e+00,2.694758425490310572e+01
1.550000000000000044e+00,-9.309963866240567043e+00,-9.984060129049161958e+00,2.715293847333121491e+01
1.560000000000000053e+00,-9.372799206310727271e+00,-9.953903251161047905e+00,2.735758592917218124e+01
1.570000000000000062e+00,-9.425899602039470082e+00,-9.905471928677616944e+00,2.755890558573531024e+01
1.580000000000000071e+00,-9.468466915600762590e+00,-9.839116481421562810e+00,2.775426023818205223e+01
1.590000000000000080e+00,-9.499827270870730089e+00,-9.755496892136127585e+00,2.794104973416104087e+01
1.600000000000000089e+00,-9.519448588469449746e+00,-9.655578965817520398e+00,2.811676581729668101e+01
1.610000000000000098e+00,-9.526955608494406036e+00,-9.540620583018409206e+00,2.827904643857704770e+01
1.620000000000000107e+00,-9.522141699946626403e+00,-9.412148192866506946e+00,2.842572728309816910e+01
1.630000000000000115e+00,-9.504976863773670459e+00,-9.271924256720037505e+00,2.855488831518676207e+01
1.640000000000000124e+00,-9.475611487057769011e+00,-9.121906893284739581e+00,2.866489335782904746e+01
1.650000000000000133e+00,-9.434375590330498440e+00,-8.964203442211152506e+00,2.875442108046922485e+01
1.660000000000000142e+00,-9.381773515931213225e+00,-8.801020013053738822e+00,2.882248624483782962e+01
1.669999999999999929e+00,-9.318474218006697285e+00,-8.634609288659985893e+00,2.886845061103493393e+01
1.679999999999999938e+00,-9.245297518570328776e+00,-8.467218890489567329e+00,2.889202348725123315e+01
1.689999999999999947e+00,-9.163196874173515027e+00,-8.301042489058167106e+00,2.889325246597876173e+01
1.699999999999999956e+00,-9.073239341682784342e+00,-8.138175573159713849e+00,2.887250538127784338e+01
1.709999999999999964e+00,-8.976583530439528502e+00,-7.980577407851343175e+00,2.883044490906129198e+01
1.719999999999999973e+00,-8.874456377033592247e+00,-7.830040253529620742e+00,2.876799749200375800e+01
