t,X,Y,Z
1.640000000000000124e+00,-9.478443865962457693e+00,-9.124273644448816611e+00,2.866896391674772104e+01
1.650000000000000133e+00,-9.437142446510129901e+00,-8.966127041594720737e+00,2.875883499923537912e+01
1.660000000000000142e+00,-9.384437673207600028e+00,-8.802476152861716585e+00,2.882717931683376023e+01
1.669999999999999929e+00,-9.321000120152818980e+00,-8.635581860120600695e+00,2.887335576423274830e+01
1.679999999999999938e+00,-9.247651858671572356e+00,-8.467700008282012192e+00,2.889707222114828511e+01
1.689999999999999947e+00,-9.165349153888307399e+00,-8.301032259982973116e+00,2.889837624214714040e+01
1.699999999999999956e+00,-9.075162343932289488e+00,-8.137681635781994771e+00,2.887763691578797420e+01
1.709999999999999964e+00,-8.978253693703692306e+00,-7.979614280426183370e+00,2.883551932452812139e+01
1.719999999999999973e+00,-8.875854064482423311e+00,-7.828628534708036213e+00,2.877295329843229865e+01
1.729999999999999982e+00,-8.769239239626227089e+00,-7.686331900909518566e+00,2.869109827969833404e+01
1.739999999999999991e+00,-8.659706699153652210e+00,-7.554126010236227096e+00,2.859130610681937767e+01
1.750000000000000000e+00,-8.548553549504800841e+00,-7.433199269095009498e+00,2.847508340412757377e+01
1.760000000000000009e+00,-8.437056198882260105e+00,-7.324526504308528807e+00,2.834405505007270420e+01
1.770000000000000018e+00,-8.326452234067700076e+00,-7.228874661322961082e+00,2.819992992562405121e+01
1.780000000000000027e+00,-8.217924812226229392e+00,-7.146813439417869063e+00,2.804446984266676424e+01
1.790000000000000036e+00,-8.112589740707235819e+00,-7.078729669879414210e+00,2.787946224829382658e+01
1.800000000000000044e+00,-8.011485287315316839e+00,-7.024844246018937532e+00,2.770669701644297689e+01
1.810000000000000053e+00,-7.915564648989711571e+00,-6.985230482295144760e+00,2.752794738911167016e+01
1.820000000000000062e+00,-7.825690912161493706e+00,-6.959832896117282175e+00,2.734495492471485889e+01
1.830000000000000071e+00,-7.742634265077147582e+00,-6.948485552771648699e+00,2.715941815453990671e+01
1.840000000000000080e+00,-7.667071171150422693e+00,-6.950929275622099723e+00,2.697298453849755973e+01
1.850000000000000089e+00,-7.599585181620746255e+00,-6.966827187277617739e+00,2.678724524386226946e+01
1.860000000000000098e+00,-7.540669053183002291e+00,-6.995778202944053170e+00,2.660373223874648474e+01
1.870000000000000107e+00,-7.490727838971055874e+00,-7.037328238016820059e+00,2.642391718804852729e+01
1.880000000000000115e+00,-7.450082636266478708e+00,-7.090979014368694600e+00,2.624921165594951944e+01
1.890000000000000124e+00,-7.418974698560909076e+00,-7.156194452427426356e+00,2.608096814878732772e+01
1.900000000000000133e+00,-7.397569650378590822e+00,-7.232404719605377785e+00,2.592048156947462090e+01
1.910000000000000142e+00,-7.385961578204669031e+00,-7.319008071871001775e+00,2.576899069502418982e+01
1.919999999999999929e+00,-7.384176808057770103e+00,-7.415370677021143386e+00,2.562767932901083867e+01
1.929999999999999938e+00,-7.392177218254930793e+00,-7.520824648726613937e+00,2.549767681902644512e+01
1.939999999999999947e+00,-7.409862973753320148e+00,-7.634664552958558836e+00,2.538005766461119350e+01
1.949999999999999956e+00,-7.437074605525142879e+00,-7.756142676041315909e+00,2.527583997399288407e+01
1.959999999999999964e+00,-7.473594394469727398e+00,-7.884463368995147547e+00,2.518598255927815188e+01
1.969999999999999973e+00,-7.519147054383343409e+00,-8.018776808137889844e+00,2.511138049120684457e+01
1.979999999999999982e+00,-7.573399742654290279e+00,-8.158172538515659156e+00,2.505285896839001225e+01
1.989999999999999991e+00,-7.635961460869781448e+00,-8.301673195220491408e+00,2.501116539462546484e+01
2.000000000000000000e+00,-7.706381940643222350e+00,-8.448228827697775500e+00,2.498695960411346917e+01
2.010000000000000231e+00,-7.784150142824885599e+00,-8.596712282404549654e+00,2.498080223084615881e+01
2.020000000000000018e+00,-7.868692530782673167e+00,-8.745916127217034486e+00,2.499314128753096043e+01
2.030000000000000249e+00,-7.959371310289230728e+00,-8.894551623237006766e+00,2.502429710300835097e+01
2.040000000000000036e+00,-8.055482859022957243e+00,-9.041250261434930380e+00,2.507444586624107785e+01
2.049999999999999822e+00,-8.156256596651420665e+00,-9.184568377216001167e+00,2.514360213932416954e+01
2.060000000000000053e+00,-8.260854570312698542e+00,-9.322995329068929138e+00,2.523160082963857676e+01
2.069999999999999840e+00,-8.368372047958869686e+00,-9.454965671174457853e+00,2.533807924817735469e+01
2.080000000000000071e+00,-8.477839420952152594e+00,-9.578875657691670042e+00,2.546246002066259706e+01
2.089999999999999858e+00,-8.588225714648487497e+00,-9.693104282967635044e+00,2.560393575109430842e+01
2.100000000000000089e+00,-8.698443988453711029e+00,-9.796038883788300566e+00,2.576145645189627942e+01
2.109999999999999876e+00,-8.807358872097919900e+00,-9.886105106905368700e+00,2.593372083660008087e+01
2.120000000000000107e+00,-8.913796430218509315e+00,-9.961800781738931576e+00,2.611917260428389298e+01
2.129999999999999893e+00,-9.016556471241367277e+00,-1.002173294408485660e+01,2.631600281382260320e+01
2.140000000000000124e+00,-9.114427318832323266e+00,-1.006465694760826324e+01,2.652215933612133014e+01
2.149999999999999911e+00,-9.206202946498255102e+00,-1.008951629768738734e+01,2.673536417349613004e+01
2.160000000000000142e+00,-9.290702242071253281e+00,-1.009548157378720212e+01,2.695313914316106363e+01
2.169999999999999929e+00,-9.366790025017619925e+00,-1.008198660231020938e+01,2.717284004093572847e+01
2.180000000000000160e+00,-9.433399294324582129e+00,-1.004875993251259914e+01,2.739169894671349681e+01
2.189999999999999947e+00,-9.489554048658273899e+00,-9.995849680913512003e+00,2.760687383087587321e+01
2.200000000000000178e+00,-9.534391905345620088e+00,-9.923639964329311169e+00,2.781550410689768782e+01
2.209999999999999964e+00,-9.567185662508766342e+00,-9.832857446114859457e+00,2.801477029379120154e+01
2.220000000000000195e+00,-9.587362910273991901e+00,-9.724566967257512573e+00,2.820195555022911904e+01
2.229999999999999982e+00,-9.594522810773639776e+00,-9.600155799931265221e+00,2.837450656556800865e+01
2.240000000000000213e+00,-9.588449237206434717e+00,-9.461306706366436003e+00,2.853009117873993716e+01
2.250000000000000000e+00,-9.569119589214304611e+00,-9.309960658121269717e+00,2.866665016722107850e+01
2.260000000000000231e+00,-9.536708779621507759e+00,-9.148270710581375198e+00,2.878244090972053471e+01
2.270000000000000018e+00,-9.491588105330121650e+00,-8.978549075255317646e+00,2.887607106211726204e+01
